name;count
SERGEI;1479
DANA;1477
LIZAVETA;1476
PATRICIA;1472
SABRINA;1465
AARON;1461
ALESIA;1448
AMIR;1445
HANKA;1445
KURT;1439
SCHOLASTYKA;1439
FRANK;1429
CRISTIAN;1427
ALICE;1426
GABRIELLA;1406
LIANA;1399
MARKUS;1398
MUSTAFA;1397
DENNIS;1395
ARTHUR;1394
JAROMIR;1391
NOAH;1390
ILIA;1379
LYUBOV;1376
NAOMI;1371
ERNESTYNA;1360
KLAUS;1353
WIRGINIA;1353
ZBYSZEK;1352
SEMEN;1346
DOMINIC;1345
NICOL;1344
YULIANA;1343
TAMILA;1342
LASHA;1336
MARIO;1336
SERGEY;1336
YAUHEN;1332
LEVAN;1328
PLATON;1324
AURORA;1318
ALICIA;1305
AKSANA;1297
DALIA;1296
BENIGNA;1295
DUMITRU;1294
INGEBORGA;1292
RADOMIR;1291
OMAR;1288
HENRY;1287
REINHOLD;1284
SERGIU;1276
SIMONA;1272
SAMIR;1268
WOLFGANG;1264
VIKTORIYA;1259
RODION;1257
LUCA;1255
CRISTINA;1252
HERMINA;1249
VLADA;1249
MANUEL;1244
CELESTYNA;1243
DONAT;1241
KSAWERA;1241
LILLY;1238
GHEORGHE;1237
BRAYAN;1236
MELISA;1234
MOHAMMED;1228
MAIA;1228
LUBOMIR;1226
CAROLINE;1226
WANESA;1225
ROGER;1220
IDALIA;1216
MARITA;1212
MAJKA;1211
JORDAN;1208
SERAFINA;1208
KRYSTSINA;1207
BIANCA;1200
JORGE;1198
VITALIIA;1196
ANIKA;1192
LARISA;1191
KIRILL;1189
FELICJAN;1185
NASTASSIA;1185
EDGAR;1181
ENGELBERT;1181
DŻESIKA;1167
NELLY;1165
NADZEYA;1164
EMANUELA;1162
INGRID;1153
MARIAM;1152
ELZA;1151
NARCYZ;1147
BAZYL;1146
MATTEO;1146
WALERY;1142
GEORGE;1140
AHMET;1134
KAYA;1134
FELIX;1132
OLEKSIY;1132
JOSHUA;1129
ZBYSZKO;1128
MARIE;1126
ZOE;1123
ADAMINA;1117
LUDMILA;1116
ULYANA;1112
DAJANA;1111
IWONNA;1110
STEFANIIA;1109
RYAN;1107
MELANIIA;1106
FRANCESCO;1103
CAROLINA;1103
HENADZI;1100
INKA;1095
CONSTANTIN;1089
ZURAB;1085
LUDWINA;1082
IAN;1081
MAMUKA;1081
NIKA;1081
NICOLAI;1079
ANATOLIY;1076
DIETER;1076
IEVGEN;1074
ADOLFINA;1074
KATERINA;1074
NIKOLETTA;1073
LUDOMIRA;1072
ABIGAIL;1067
RAJNOLD;1063
PASCAL;1062
WITALIS;1062
NATHANIEL;1056
ALIONA;1056
ELIZAVETA;1054
MELISSA;1052
TELESFOR;1049
ALEKSEI;1047
KAI;1046
VALENTIN;1045
ZAZA;1042
ALESSANDRO;1033
ANDREY;1033
KONSTANTIN;1029
LILIYA;1026
LEILA;1022
BERENIKA;1017
MIGUEL;1016
ROBERTO;1016
RUFIN;1009
TAISA;1007
ALOJZA;1006
BRAK DANYCH;1002
OTTO;1002
RAMONA;1002
HANA;1001
ALEXANDRE;995
CLARA;995
YULIA;993
IVO;992
HANS;991
EUFROZYNA;991
SYLWESTRA;987
ALEKSANDRE;986
LEONA;985
ALLAN;984
GOCHA;984
BORIS;980
BRYAN;980
DZIYANA;979
JANUARY;972
LUDOMIR;970
PABLO;966
ALEJANDRO;965
NINO;964
SWIETŁANA;963
RICARDO;959
MICHAELA;959
MURAT;951
ZACHARY;949
MONICA;948
DMYTRII;946
KARIM;945
BEKA;944
BOGUSZ;943
MARKIIAN;941
ŻAKLINA;940
IBRAHIM;939
DMITRI;937
GNIEWOMIR;930
DARINA;929
DYONIZY;928
LIA;928
FATIMA;926
SERGIO;922
VEACESLAV;922
EGOR;921
ALEXEI;919
DMITRY;919
JAKOB;918
IAROSLAV;917
PEDRO;907
EMILA;903
ELA;900
MIIA;899
MICHAL;898
ARYNA;894
WASYL;893
CHARLOTTE;889
HASAN;888
OSWALD;882
LUNA;879
KRISTIAN;876
ALMA;876
EUDOKIA;876
SYBILLA;875
KOSTKA;874
KRYSTYN;873
ELDAR;872
