surname;count
ROSZKOWSKI;4267
ŻUCHOWSKI;4267
ŁUKASZEWICZ;4260
DROŻDŻ;4250
POLAŃSKI;4239
SIWIEC;4231
KRUKOWSKA;4227
WOJDA;4214
GACEK;4211
KĘDZIOR;4206
JEZIORSKI;4205
ROSZAK;4204
STUDZIŃSKA;4202
KORCZAK;4200
ROSZKOWSKA;4199
WIŚNIOWSKA;4199
KUSIAK;4193
PAPROCKI;4183
RYBKA;4180
ROŻEK;4174
BOBROWSKI;4172
WIŚNIOWSKI;4168
RUSEK;4166
TKACZ;4165
WRZESIŃSKA;4153
JAKUBCZYK;4151
POLAŃSKA;4144
KRÓLAK;4139
KUKLA;4138
JEZIORSKA;4130
DUSZYŃSKA;4129
WRZESIŃSKI;4126
KWIATEK;4125
KRASZEWSKI;4122
KOSMALA;4119
SIDOR;4119
WACH;4118
GRZYBEK;4116
SZKUDLAREK;4114
PAPROCKA;4111
DYMEK;4109
GRABARCZYK;4097
ŻUCHOWSKA;4094
SZOPA;4089
KORZENIEWSKI;4088
BOBROWSKA;4087
NOWIŃSKA;4086
TOKARCZYK;4082
ADAMIEC;4077
MIELCAREK;4077
MAZIARZ;4071
KORZENIEWSKA;4057
TUROWSKA;4053
GOLA;4051
NOWIŃSKI;4051
TUROWSKI;4049
LANGE;4047
SKONIECZNY;4047
GRODZKI;4046
KRASZEWSKA;4045
MAŁKOWSKI;4045
ŚPIEWAK;4042
RESZKA;4027
SZYMANEK;4027
RZEPECKI;4023
KRUSZYŃSKI;4016
SZCZUREK;4010
KURZAWA;4005
KĘPKA;4003
KRUSZYŃSKA;3999
SUSKI;3999
ROGOZIŃSKI;3993
GRODZKA;3986
BOGDAŃSKI;3982
GĄSIOREK;3980
BOGDAŃSKA;3974
LEWIŃSKI;3974
WAGNER;3973
PIECH;3972
LIPIEC;3969
STASZAK;3966
WOŹNA;3961
BARTOSZEK;3955
PERKOWSKI;3955
KAPUŚCIŃSKI;3954
PASZKIEWICZ;3951
FLAK;3951
LEWIŃSKA;3949
SHEVCHUK;3949
SZELIGA;3948
OLECH;3947
RZEPECKA;3946
JAKUBIEC;3943
SMOLEŃ;3942
MAŁKOWSKA;3936
WOJTOWICZ;3928
BUGAJSKI;3922
ROKICKI;3920
JANCZAK;3919
KOZAKIEWICZ;3917
PLICHTA;3917
WRZOSEK;3911
KULPA;3910
PERKOWSKA;3907
PĘKALA;3907
RADZISZEWSKA;3904
DZIURA;3899
AMBROZIAK;3894
OLSZAK;3894
ROGOZIŃSKA;3893
WAJDA;3891
BIAŁECKI;3885
WASIELEWSKI;3884
MAJKOWSKI;3874
